*       h1              h2              h3              h4              h5              h6              h7              h8              h9              h10             h11             h12             h13             h14             h15             h16             h17             h18             h19             h20             h21             h22             h23             h24
        1               2               3               4               5               6               7               8               9               10              11              12              13              14              15              16              17              18              19              20              21              22              23              24
bs43    15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359     15.95877359
bs44    16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881     16.04901881
bs45    16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559     16.13715559
bs46    16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623     16.23673623
bs47    16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187     16.33396187
bs48    16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019     16.41672019
bs49    16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989     16.54243989
bs50    16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255     16.63078255
bs51    16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897     16.71352897
bs52    16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079      16.8324079
bs53    16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433     16.91134433
bs54    17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423     17.01335423
bs55    17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491     17.08851491
bs56    17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313     17.20731313
bs57    17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242      17.2840242
bs58    17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931     17.40697931
bs59    17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032     17.49834032
bs60    17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371     17.58239371
bs61    17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891     17.66716891
