*       h1              h2              h3              h4              h5              h6              h7              h8              h9              h10             h11             h12             h13             h14             h15             h16             h17             h18             h19             h20             h21             h22             h23             h24
bs27    156.8076358     158.7530608     154.709059      142.5891069     143.6718212     151.7794146     162.3062355     160.1418712     174.3168565     187.6932132     218.7627387     218.7459834     227.2638115     226.9440594     234.2695588     232.3576767     247.3848394     229.3475005     237.1225914     224.652356      228.2825108     220.48258       193.5067884     200.0642727
bs28    157.4110857     159.6172586     155.6103497     143.2099123     144.4976622     152.5274675     162.9392122     160.9523913     174.9480123     188.3150138     219.738286      219.4341501     227.9798176     227.6305596     235.0171903     233.2457025     248.2212581     230.1068907     238.0775886     225.5022471     229.086298      221.3043936     194.3797823     201.2221421
bs29    158.2552122     160.3042691     156.2441517     143.9502929     145.2327978     153.3162157     163.638694      161.8076092     175.8856028     188.9666124     220.204449      220.3970737     228.8560263     228.5087568     235.7337835     234.1539155     248.9412283     230.8598403     238.8241461     226.1734771     229.7505919     222.0917283     195.0564325     201.8735262
bs30    158.825237      160.9263038     156.9330095     144.8624556     145.8119088     154.2171319     164.1255647     162.7228871     176.7145945     189.71459       221.042111      221.1323849     229.5791351     229.1502498     236.5946507     234.9011879     249.7776978     231.7401949     239.6180327     226.7912989     230.5940688     222.7107289     195.9589701     202.7682636
bs31    159.3929007     161.7199979     157.7405278     145.4815961     146.8266012     154.7436074     164.8019355     163.3519041     177.6361266     190.4919279     221.5868282     221.9204479     230.2772043     229.9419802     237.4480351     235.699689      250.4277666     232.5886209     240.3349559     227.5192052     231.231204      223.6070308     196.4758006     203.3658066
bs32    160.370253      162.3739426     158.4876387     146.2164352     147.4866972     155.7952174     165.4387696     164.2928856     178.3290501     191.1025166     222.4010428     222.4832045     231.1435425     230.6704756     238.1990017     236.53405       251.1316846     233.3058767     241.1192252     228.3011746     231.9512403     224.3816368     197.4127731     204.26853
bs33    161.2268655     163.1805459     159.2476638     147.0496718     148.0413025     156.5950583     166.1411631     165.0402692     179.2148486     191.9390607     223.1093782     223.1735435     231.8293737     231.4910056     239.0438003     237.5764261     252.1135475     233.9309069     241.834339      228.8525645     232.8533326     225.2778917     198.0960659     204.9440078
bs34    161.783288      164.043635      159.9235479     147.8840341     148.8593074     157.4509229     166.8387677     165.9721376     179.9924509     192.5318633     223.6175504     224.0677501     232.5131107     232.1962813     239.8653813     238.0269463     252.7531502     234.7249893     242.747469      229.7093994     233.4930267     225.828872      198.8438263     205.7560331
bs35    162.5044992     164.4623682     160.7234615     148.4710769     149.6440913     158.1133414     167.4885929     166.6574327     180.8140442     193.1705274     224.5763321     224.8141187     233.1492991     233.0492101     240.5869505     239.0212907     253.5503455     235.5304041     243.3296565     230.1200103     234.0985318     226.6646597     199.6207318     206.6662001
bs36    163.4509299     165.3590984     161.5122335     149.3307901     150.1617684     159.0308062     168.1386017     167.4030347     181.6542956     193.9428951     225.0503936     225.5767173     233.9836458     233.8807946     241.3186691     239.9160164     254.2248496     236.3451077     244.3005665     230.9609668     235.0679623     227.5811573     200.55111       207.3816443
bs37    164.0146465     166.0368599     162.0752882     150.0577031     150.9960091     159.8222098     168.8027875     168.345183      182.4157352     194.5807205     225.8389901     226.4489471     234.7542939     234.4582035     242.1434321     240.5393919     254.9991021     237.066208      244.973231      231.6180761     235.7759965     228.2205144     201.3855831     208.1968005
bs38    164.7856935     166.9491629     162.9671335     150.7509963     151.7044987     160.6617801     169.614642      169.1771286     183.1179943     195.0834278     226.4815357     227.1311858     235.4019869     235.3851753     242.8367348     241.3343101     255.8130822     237.925781      245.7321462     232.343925      236.3422424     229.1088544     201.9756913     208.8221225
bs39    165.5161101     167.5391569     163.7985049     151.4139452     152.5880384     161.4341234     170.1693877     169.8318185     184.0884404     195.9164434     227.370552      227.8623657     236.1761402     236.1316078     243.8202759     242.361232      256.5225845     238.7497786     246.6169263     232.8768864     237.0482116     229.9874614     202.9112913     209.6393406
bs40    166.20877       168.3628094     164.3798194     152.3115797     153.2369483     162.2724622     170.7565552     170.5972943     184.8504785     196.6454807     227.7617761     228.7026194     236.7426604     236.6656888     244.5433075     243.1099081     257.2801799     239.2849246     247.1917633     233.7067887     237.9929569     230.6677157     203.6731602     210.4669992
bs41    166.761486      169.1511781     165.2163278     153.0486563     153.9708648     163.0446796     171.3287511     171.4901074     185.5907875     197.3904738     228.7287763     229.4895509     237.5315842     237.6448728     245.3387604     243.8679033     258.0022433     240.1742134     248.1576243     234.5032716     238.6489289     231.3887458     204.4006832     211.2914909
bs42    167.6412421     169.8434885     165.9694907     153.6787553     154.6446252     163.9135324     172.08586       172.2441881     186.4348795     198.0304304     229.2486527     230.2534228     238.3735608     238.2032569     246.1837826     244.671577      258.8184837     240.9083121     248.8357357     235.175273      239.369846      232.1761515     205.2631823     212.0145161
bs43    168.3646513     170.5703458     166.6764677     154.6078105     155.5370371     164.6098167     172.608505      173.1425531     187.2193976     198.7775914     229.9868158     230.9911605     239.1418907     239.1632235     246.9361131     245.6554708     259.4722157     241.7409424     249.6462069     235.7166194     240.0819082     232.8814878     205.9826684     212.8767946
bs44    169.0366897     171.3804231     167.325432      155.1505408     156.1911826     165.4937227     173.3499416     173.8962133     188.0359324     199.5329017     230.6472212     231.6549576     239.8201738     239.7732723     247.7812081     246.5051147     260.3081549     242.5726759     250.4191254     236.4367668     240.809039      233.733576      206.7329329     213.7647475
bs45    169.8498596     172.0718312     168.1508072     155.8728038     156.8383483     166.3848153     173.9349351     174.5930355     188.8267827     200.3134425     231.3652984     232.4387463     240.5136535     240.714157      248.4966879     247.1784884     261.0386911     243.2596297     251.1099067     237.1163527     241.6554064     234.3811721     207.5040375     214.5190722
bs46    170.546399      172.8767352     168.77322       156.7397196     157.6160276     167.015977      174.6179705     175.4601227     189.8086363     200.822128      231.9822158     233.1929246     241.2419298     241.4348654     249.468587      247.8753197     261.7316266     243.8667869     252.0305696     237.7675371     242.3933525     235.1484923     208.3839931     215.0803909
bs47    171.4423144     173.4918666     169.4469038     157.3958974     158.2136045     167.8646098     175.2710647     176.2743747     190.2711932     201.5491829     232.642774      234.0853962     242.0215607     242.1448653     250.0802853     248.686366      262.5726044     244.742218      252.5579676     238.3187424     243.0418833     235.9741321     209.1638166     216.0451328
bs48    171.9870918     174.1026073     170.4793762     158.0803518     158.9730722     168.728575      175.9692449     177.066596      191.1492938     202.2626791     233.4573856     234.8097523     242.625571      242.8067825     250.9446492     249.7454398     263.3895142     245.4755162     253.3399207     239.1599937     243.8254873     236.7798527     209.919798      216.7575576
bs49    172.6494064     175.0338826     170.9425162     158.9302093     159.8152368     169.512359      176.5834052     177.8635163     192.2279046     202.9455237     234.1220041     235.5602334     243.4821606     243.7402825     251.7472721     250.5448462     264.1503808     246.1856527     253.9888936     239.9694407     244.5390075     237.5194777     210.6467354     217.4913348
bs50    173.3462548     175.6605982     171.7654993     159.7543881     160.3945953     170.2734831     177.3183547     178.6878839     193.0076934     203.6902818     234.8240097     236.2911449     244.2058746     244.4799825     252.464748      251.1965806     264.9041461     247.1540423     255.1199269     240.6338392     245.3456594     238.5182838     211.3413944     218.2615386
bs51    174.1769253     176.4378127     172.5993141     160.5402209     161.1310521     171.1606277     177.9943345     179.6082636     193.8458323     204.3282115     235.490999      237.1986317     244.9163232     245.2180369     253.2904031     252.0739253     265.6923981     247.844302      255.7333139     241.3082567     246.154438      239.1793344     212.3011037     218.9435071
bs52    174.8935643     177.1983626     173.4161385     161.2436705     161.9398898     171.8852128     178.7150606     180.3802974     194.4704727     205.0576        236.0956141     237.8067702     245.5415366     245.8732959     254.0404344     252.9238773     266.4498274     248.6281096     256.573217      241.8925668     246.6830092     239.8401801     213.1005772     219.8440182
bs53    175.6154449     178.0483455     174.2005536     161.9374331     162.7496713     172.7937663     179.1692577     181.2187755     195.3986492     205.7682192     237.1040167     238.6679024     246.4272755     246.5785917     255.0241053     253.6724456     267.1938158     249.3944094     257.131933      242.5492579     247.6039286     240.6579126     213.8038369     220.8684297
bs54    176.3831081     178.524816      174.7032304     162.7928059     163.2977359     173.4110685     179.9758198     182.0700643     196.0990791     206.3497155     237.5036996     239.2956232     247.2393778     247.3614665     255.5568673     254.5827581     267.8965769     250.0241505     257.9666318     243.2174323     248.3580765     241.5348228     214.5411099     221.6462727
bs55    177.0660172     179.4732987     175.5102312     163.5290247     164.0099398     174.3125134     180.4824585     182.5793288     196.8218019     207.0653424     238.2712078     239.9785674     247.8911192     248.345496      256.3944387     255.4253696     268.6391894     250.8646733     258.6421854     243.9093371     249.0650023     242.2576866     215.3754218     222.4285858
bs56    177.8021014     179.9756184     176.2216119     164.2470073     164.8986606     175.16619       181.2762931     183.4338774     197.7625913     207.8129015     238.9941614     240.713781      248.65935       249.0232431     257.1780759     256.1400825     269.3489565     251.56723       259.5085393     244.5619707     249.8561354     242.9502455     216.0975805     223.2501577
bs57    178.5833153     180.7784116     176.822652      165.0924467     165.5740508     175.9613815     181.7113912     184.2064939     198.4906146     208.5172323     239.5722862     241.5616683     249.2363064     249.7591206     258.1616581     257.0082103     270.2601873     252.2684435     260.3993378     245.3467113     250.7299431     243.8516425     216.9118853     223.7832094
bs58    179.2168646     181.6396917     177.7851013     165.8043716     166.3196755     176.8065069     182.5862838     185.0296083     199.3232224     209.4052786     240.1880363     242.2621052     249.9786977     250.5055487     258.8799982     257.8584948     271.0696685     253.0995946     261.2820411     246.0785899     251.1633336     244.3096451     217.785948      224.7747187
bs59    179.9756367     182.4407013     178.6637719     166.5908667     167.0153491     177.5684596     183.1095008     185.8129617     200.1602331     209.9653657     241.1273        243.286623      250.675476      251.238372      259.7294966     258.5236287     271.7298804     254.074168      261.8703346     246.7133357     252.0498788     245.3185547     218.5160438     225.4249008
bs60    180.6087156     182.8699058     179.1971987     167.1869205     168.012701      178.2802735     183.8993568     186.611209      200.8890462     210.6567074     241.7288335     243.9718721     251.4995857     251.9890378     260.3981547     259.507284      272.5774001     254.5902875     262.8075261     247.5027574     252.816812      246.2014066     219.2684823     226.3141758
bs61    181.4478426     183.6783927     180.0606525     168.0684497     168.5538761     179.1446781     184.4245911     187.5395357     201.6191425     211.3803466     242.2324518     244.6187359     252.2421566     252.7875996     261.1939112     260.3474613     273.0754619     255.427359      263.684754      247.9733747     253.6396395     247.0342931     220.0075776     226.9272702
bs62    182.012096      184.5358391     180.7599286     168.953408      169.0238938     179.8342865     185.0219339     188.2855674     202.7021158     212.1910291     243.0329956     245.4316352     253.1499635     253.5590837     262.0596113     261.0741689     274.3270938     256.4253152     264.1838321     248.7739546     254.328205      247.7236922     220.6486693     227.854451
bs63    182.812101      185.3721567     181.3694967     169.4765991     169.9598468     180.9091635     185.6394735     189.1770723     203.233161      212.8777064     243.7431969     246.3368584     253.6309463     254.1336918     263.1052921     261.9686354     274.6619459     256.964655      264.9929472     249.246668      254.8966068     248.2410284     221.5871592     228.5846339
bs64    183.4174089     185.8538107     182.2632676     170.1745633     170.7926242     181.4593394     186.4266453     189.9712772     204.0532918     213.486998      244.2876375     247.015193      254.4533429     255.119508      263.4151912     262.7001832     275.6316451     257.5893126     265.5143912     250.081002      255.9499233     249.1543151     222.4139159     229.5827296
bs65    184.3487842     186.7524814     182.7527624     170.9125167     171.4233187     182.4255652     187.0326588     190.6115237     204.7365824     214.1976052     245.0323373     247.7723215     255.2612242     255.7536431     264.3285553     263.6240855     276.2658899     258.5947619     266.5417706     250.6776357     256.4285595     249.7910238     223.0960004     230.3537358
bs66    184.9869315     187.4726601     183.6517749     171.8661437     172.0997276     182.9759785     187.7654884     191.4072474     205.754926      214.7025512     245.6870162     248.4060509     256.0777943     256.6596632     265.2105161     264.4388234     276.9697671     259.4301555     267.3483014     251.3789178     257.1949894     250.6232217     223.7536567     230.8782041
bs67    185.7565351     188.1044226     184.3651958     172.5095263     172.8480786     183.8823926     188.3986044     192.3470868     206.7406155     215.4046266     246.4126889     249.2934101     256.7994287     257.2901604     265.9562442     265.1748409     277.7115798     259.8550483     268.1424181     251.9800382     257.8863121     251.3422213     224.7238968     231.7726395
bs68    186.4980478     188.8053752     185.0632412     173.4778468     173.6494918     184.8200031     189.2230816     193.0781084     207.4748806     216.2476439     247.106715      250.1433284     257.4121937     258.2562654     267.0623556     265.943945      278.6669711     260.8608722     268.5876806     252.7024422     258.6410495     252.2188846     225.3141176     232.486736
bs69    187.0971346     189.4446594     186.0415239     173.9588785     174.3252027     185.5266027     189.6575794     194.0366081     208.3511053     216.8999312     247.8288599     250.8373507     258.2855878     258.6139583     267.4829384     266.8808168     279.3059694     261.6005462     269.5047378     253.62674       259.6039315     253.0593559     226.1348463     233.2191469
bs70    187.906274      190.5392351     186.671394      174.6703743     175.2612265     186.3097424     190.2852272     194.6329572     208.8822681     217.5867797     248.6942535     251.5274181     258.9150497     259.7645432     268.4387057     267.6541453     279.9324563     262.5510901     270.39971       254.1371872     260.0803611     254.046937      227.2286272     234.452141
bs71    188.5885398     191.2492775     187.4900405     175.5587112     175.9802477     187.2731203     190.8640553     195.5924016     209.7872815     218.3903825     249.1696233     252.3591355     259.6439226     260.5726762     268.9859309     268.6355307     280.4254086     263.1008912     271.3927887     254.786909      260.8579968     254.6995563     227.9749197     235.0600123
bs72    189.4340165     191.9096833     188.1095067     176.2850343     176.8189792     187.9890674     191.6121242     196.4361193     210.4050416     219.2319633     249.8107793     253.3064804     260.3535418     261.0910256     269.8000598     269.2506309     281.5556863     263.7006819     272.0949666     255.3949377     261.5015774     255.4772931     228.401475      235.6439523
bs73    190.0116306     192.5059616     189.0199367     176.9188639     177.0790343     188.381252      192.2278384     197.062268      211.2851529     219.5673297     250.890794      253.9500414     260.9888082     261.8994304     270.8328252     270.1727394     282.1694208     264.6354926     272.6446582     256.2792943     262.2093024     256.1378863     229.3933342     236.4438775
bs74    190.6800921     193.5348935     189.55791       177.5993696     178.1047446     189.7119442     192.9095703     197.9014541     212.142542      220.3360163     251.1298583     254.5039597     261.8069463     262.5329119     271.6346324     271.0963793     283.2410876     265.4803534     273.2161287     256.998456      263.2311197     256.8159126     230.1543621     237.4701235
bs75    191.3536091     193.80977       190.5593834     178.6420805     178.6345023     190.591633      193.4358785     198.7268093     212.789684      221.118716      251.9723047     255.2384204     262.5107196     263.2397762     272.4124048     271.9494691     284.1145066     266.1541058     274.3707559     257.7627746     263.6073743     257.7564039     230.8035573     238.1675432
bs76    192.1037426     194.9969418     191.316969      179.087099      179.3377793     191.2241655     194.0657974     199.3026178     213.8694693     221.973119      252.3638265     256.0112907     263.09513       264.1309205     273.280519      272.6354689     284.7264084     267.0139352     274.9499474     258.2549248     264.3298606     258.1587772     231.8220355     238.5677685
bs77    192.9104068     195.6547572     191.6734952     180.0819974     180.2149862     192.1915816     195.1407933     200.023085      214.6912984     222.6534674     253.2856962     256.6894667     263.8736091     264.8772735     273.9698068     273.7411298     284.8566239     267.7840959     276.1245606     258.9623716     265.3333899     259.2407623     232.6566817     239.7051336
bs78    193.5895988     195.9010982     192.5136469     180.6505583     180.677697      192.4926438     195.5365892     201.011256      215.4830393     223.252589      254.0262685     257.6025696     264.8920051     265.8570145     274.8410023     274.0695776     286.2725243     268.6883709     276.5123151     259.7377319     265.7155267     259.9017414     233.0340202     240.2990693
bs79    194.4647988     196.9478051     193.4954224     181.4192439     181.5541276     193.6648215     196.0413956     201.7642352     216.3197423     223.9462118     254.6535196     258.513414      265.384583      266.6811594     275.3904871     275.0059458     286.9853123     269.4727226     277.0631836     260.2645065     266.5050084     260.6924678     234.296621      241.1054623
bs80    195.0833318     197.6431419     194.2661835     182.251558      182.569263      194.0428811     196.6849078     202.9090676     216.7658521     224.6005287     255.5074001     259.2648203     266.0787423     267.0992166     276.244247      275.7018938     287.6259689     269.8561291     277.9672625     260.953249      267.2072701     261.4945039     234.8696185     242.0650503
bs81    195.8890104     198.5919354     194.6104351     182.9231887     183.030563      194.6391749     197.3242577     203.5297328     217.6668779     225.2042066     255.6939348     259.8440095     266.7777426     268.1106897     277.2713323     276.7033288     288.3700476     270.5960011     278.6934652     261.6824909     268.2103913     262.1320452     235.6572125     243.0904026
bs82    196.5636043     199.2618541     195.1917268     183.3803874     183.6729648     195.7297669     198.2426936     204.179752      218.3886454     225.9509057     257.1223591     260.5572503     267.6609498     268.5315515     277.7843847     277.6169806     289.1082499     271.5442433     278.7532243     262.5825586     268.5861995     262.7465889     236.5298008     243.5402982
bs83    197.3918139     199.749083      196.4243542     184.2518672     184.4559539     196.6016663     198.8497658     204.4872145     219.0506744     226.4273208     257.5063921     261.3118641     268.5384626     269.4484925     278.5604876     278.187184      290.1147129     272.1778801     279.6963304     263.0739681     269.4602878     264.086466      236.9122573     243.9950741
bs84    198.0100365     200.1639703     197.3232116     184.8645533     185.3298198     197.4222939     199.4198146     204.4872145     220.1138666     227.4426461     257.6351756     262.0626742     268.8855538     270.1957568     279.4139526     278.8991431     290.7011705     273.1618574     281.3682095     263.4949331     270.2429632     264.5357106     237.8696343     244.1269502
bs85    198.8106318     201.1605242     197.4498002     186.0731299     185.709782      197.5631699     199.9656631     205.5951549     220.5389867     228.0489337     257.6351756     262.7881692     270.2179657     270.6958657     280.5867329     280.0244531     291.163558      273.8495248     281.6334269     264.4539053     271.0474288     265.2732527     238.5644309     245.0354029
bs86    199.3661429     201.7129739     198.1880962     186.6363787     186.3617693     199.2625963     200.7996229     207.6096443     221.2700151     229.0043304     259.4152866     263.6181098     270.6662104     271.7041897     280.8529259     280.9653005     291.8237827     274.4814884     282.4221771     265.0560615     271.5167235     265.7287545     239.4426768     246.6238456
bs87    200.0903864     203.0245913     198.9309032     187.4129727     187.3195201     199.7009967     201.2063184     208.0183296     222.0010434     229.7103302     259.4772718     264.3351793     271.3795823     272.509052      281.9065914     281.4323946     292.3041532     275.2908867     282.9611295     265.8783565     271.5167235     266.9481687     240.5649664     247.2142604
bs88    201.0420651     203.143123      199.6268774     187.9160316     188.2234113     199.7872139     202.1391251     209.5168743     223.6636573     230.0711847     259.4772718     265.2346633     272.1926306     272.9641885     282.328235      282.5258512     292.3041532     275.7125526     282.9611295     266.5753369     272.6802477     267.0182927     240.6662678     247.8658845
bs89    201.3642374     203.143123      199.7972947     188.6932231     188.571383      201.6441474     202.7079001     209.6601068     224.2312946     231.0380056     259.4772718     265.8977612     272.7082595     274.0590296     283.1629862     283.1448748     293.337581      276.3092344     284.1515951     267.0375966     273.8437719     267.0182927     241.365078      248.5175086
bs90    202.4971874     205.1168126     199.7972947     189.3969559     189.6990975     202.2972848     203.3524591     210.4408677     224.5908917     231.239803      260.9427626     266.6548021     273.2602727     274.6279979     284.0261326     283.8711188     294.3710087     277.7100529     285.5837045     267.1615966     274.4583361     268.00389       242.0638883     248.5175086
bs91    203.1004215     205.4685528     201.9121991     190.1363868     190.1725432     202.6544449     204.0237385     211.2159467     225.342104      231.239803      262.4082533     266.854259      273.7728891     275.6645663     284.7792341     284.8094137     294.3710087     278.0734755     285.8253484     267.8321971     275.5691146     269.7418263     242.0638883     250.9575
bs92    203.5577925     205.4685528     202.2754444     191.1643922     191.0573592     203.2128005     204.6853012     211.3070699     226.0933163     232.8976593     263.198374      268.1239612     274.8957708     276.4630334     285.0689541     285.6268428     294.3710087     278.5221619     285.8253484     269.0495186     276.1869989     270.5562583     242.9998565     251.4385451
bs93    204.3199048     206.4238651     203.8842474     191.2507783     191.4541003     204.2382014     205.3377753     211.3070699     226.0933163     233.2328076     263.9884947     268.6901147     275.0826527     277.2920179     285.0689541     286.8807531     294.3710087     278.9708482     285.8253484     269.1379081     276.308669      271.2854053     243.9358248     251.7376369
bs94    205.0259082     207.3791774     204.3380102     192.0676446     191.4541003     204.7052466     206.1423299     211.3070699     226.0933163     233.2328076     264.9481545     269.1756373     275.7138278     277.6311642     285.0689541     287.1819675     294.3710087     280.6179625     287.3512198     269.1379081     276.308669      271.3711774     243.9358248     251.7376369
