,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
as45,161.442497,158.0636404,155.2223677,138.711414,148.2766371,148.1672185,163.1497115,163.7462442,173.0583865,193.9461155,216.0924531,227.683456,231.7504745,236.9089595,232.7576079,241.8286843,242.5626262,230.0398361,234.8377147,226.9484047,225.4495579,222.0993088,198.2541799,202.0023199
as46,162.0135851,158.867576,155.8618981,139.5231026,149.1505557,148.8225449,163.7013433,164.1938929,173.6831129,194.4377294,216.8006782,228.4871236,232.3823521,237.5669641,233.6820551,242.8236494,243.3921359,230.7298099,235.789751,227.4899995,226.2142994,222.9137003,198.7052614,202.7254526
as47,162.856442,159.6004341,156.797914,140.4001721,149.9508877,149.4693599,164.4341715,165.0342457,174.4129377,195.3312038,217.7146095,229.0790324,233.0867412,238.4171771,234.5494923,243.5299841,244.186536,231.5049477,236.4676009,228.2351729,226.9419235,223.7372021,199.4518046,203.5531023
as48,163.6135658,160.4721106,157.3226403,140.9626025,150.7090163,150.3037082,165.1683697,165.8123787,175.0274837,195.773769,218.3542936,229.8393655,233.9003591,239.1090283,235.4285125,244.4532445,244.9316719,232.593368,237.0491279,229.0132279,227.7977128,224.4276577,199.9735602,204.3819235
as49,164.2431623,161.1880123,158.0840737,141.4619499,151.2749833,151.2683492,165.8484262,166.4339933,175.8202459,196.4861801,219.0498047,230.6122543,234.5540689,239.9372595,236.3482465,245.3263594,245.7175366,233.2326257,237.9379995,229.7144568,228.3239348,225.2624521,200.6269063,205.1401123
as50,165.1125214,161.9576176,159.0027543,142.2319087,152.0561579,151.9745076,166.3713058,167.1496968,176.5370391,197.3839417,220.0966209,231.1351394,235.1042443,240.5101183,237.0526041,246.1603342,246.4662899,234.212349,238.4133768,230.4332916,228.9490668,226.2071911,201.4425146,206.0218464
as51,165.7907691,162.8977551,159.7251485,142.9681477,152.8505234,152.6285367,166.9998774,167.8757125,177.2375834,197.7110131,220.8316372,231.7825896,235.7877426,241.4424386,237.8171737,247.2900982,247.0499291,235.3359785,239.3774694,231.1233602,229.6929863,227.1423051,202.0393604,206.6637153
as52,166.4441156,163.4610327,160.4584515,143.6741332,153.5632988,153.5777488,167.9677566,168.5379066,177.9216314,198.6035673,221.5539729,232.6621863,236.6457865,242.2639888,238.6968239,248.2345127,247.9526562,236.0140127,240.1572994,231.7674332,230.4993298,227.834384,202.7562821,207.4829314
as53,167.0971168,164.3853247,161.0783931,144.6525683,154.301646,154.2200796,168.4780964,169.3321476,178.6273079,199.1925517,222.468557,233.2830844,237.3936836,243.0725585,239.5207551,248.8636868,248.7150663,236.9027832,240.7612924,232.3846821,231.1244154,228.8381179,203.3302382,208.2670004
as54,167.9099265,165.0569492,161.9112564,145.2719572,155.0738679,154.9555722,169.094842,170.0145704,179.3690732,199.8448854,223.2658187,233.9979038,237.9817304,243.7513683,240.3782336,249.9196591,249.6101315,237.7581718,241.5088452,233.0427373,232.018611,229.4764231,203.9952651,208.9898341
as55,168.7506776,165.8263391,162.5949665,146.2081483,155.8515351,155.3044371,169.8497903,170.7303837,180.1674568,200.574004,224.0899109,234.7010738,238.8508764,244.371731,241.2605215,250.6988332,250.3392041,238.5785164,242.2050958,233.7302952,232.6944635,230.313673,204.6010656,209.9932751
as56,169.4115887,166.6004455,163.3979412,146.78662,156.5340667,156.2816362,170.4441915,171.3761571,180.6656371,201.2695942,224.7366433,235.3681826,239.3032648,245.2193142,241.9532093,251.6529762,250.902321,239.3639528,243.005759,234.3300155,233.5001943,231.174529,205.1822218,210.7201929
as57,170.1126549,167.3210309,164.1271647,147.5536196,157.4562776,157.0949528,171.1844523,171.9801689,181.4111474,201.8992618,225.6663199,236.3789567,240.0467498,245.9853262,242.9144173,252.4119124,251.7028826,240.283967,243.7786983,235.0225945,234.1729531,232.1071571,205.8638158,211.5001447
as58,170.860029,168.1302531,164.8575285,148.2302537,157.9618886,157.7485395,171.8438466,172.7593205,182.242547,202.5346404,226.4158215,236.956024,240.8622532,246.8546037,243.6711721,253.3271584,252.4587085,241.1081163,244.3968246,235.6425286,234.7012989,232.8406211,206.4256793,212.3185506
as59,171.5298006,169.0965818,165.774394,149.0003565,158.879361,158.5468032,172.5780472,173.6501708,182.9489233,203.216506,227.1426716,237.6771233,241.5548308,247.3394642,244.3669348,254.3000483,253.312066,241.8450763,245.1845033,236.3799797,235.5104762,233.7029067,207.2879517,213.0826511
as60,172.3010883,169.6577859,166.3994923,149.7525051,159.577132,159.1433447,173.27964,174.290977,183.7671083,204.0269887,228.0666581,238.1859625,242.2122314,248.2271103,245.244802,254.9330361,253.9934354,243.0711315,246.0085066,237.1288724,236.2365992,234.7084201,207.8713523,213.9202332
as61,173.1315976,170.5243264,167.0739353,150.4844486,160.4006579,159.8785806,174.0008868,174.9467386,184.4613532,204.4787526,228.6876163,239.0117576,242.8920618,249.0932391,246.0934528,255.9681701,254.8522115,243.7493717,246.675717,237.8103059,236.9492005,235.426138,208.4052745,214.6157139
as62,173.8341178,171.1275626,167.9697761,151.4473838,161.0069493,160.74999,174.6710593,175.6877683,185.0720522,205.3286385,229.6471436,239.6492502,243.6612553,249.7951975,247.0377618,256.9256941,255.5052394,244.5790379,247.3785904,238.2826584,237.683192,236.0634158,209.188194,215.3457271
as63,174.5876088,171.9766034,168.6738121,151.9972546,161.6085328,161.4055498,175.235438,176.4731381,185.7740106,205.8648171,230.4306398,240.6377554,244.3697108,250.4491334,247.9581724,257.628458,256.187308,245.5256837,248.2019403,239.190959,238.3097026,237.0333523,209.8681905,216.119981
as64,175.1557833,172.8301139,169.3022182,152.7346731,162.3312686,162.1733291,175.9412182,177.038908,186.5042381,206.481468,231.2534537,240.9903496,245.0642062,251.3982767,248.6682809,258.4818749,257.0258422,246.4594064,248.9179028,239.7402997,238.892957,237.89465,210.4635643,217.0738673
as65,175.9691021,173.4916047,170.1085773,153.4167984,163.0230172,162.9388706,176.7177816,177.6112478,187.2172175,207.0956396,231.9863429,241.9497286,245.8641445,252.1734773,249.4474694,259.4269456,257.8268915,247.1884475,249.7799953,240.4727511,239.7777493,238.7106364,211.0297217,218.0011725
as66,176.815376,174.44396,170.8946484,154.2535279,163.852158,163.6368144,177.2373293,178.4517047,188.0045399,207.9435608,232.7485636,242.5871104,246.5977318,252.8668078,250.3885736,260.1969608,258.4250251,248.0673966,250.2641981,241.2232108,240.4375976,239.6301245,211.6902407,218.5931197
as67,177.5467176,175.1293232,171.6276956,154.9753418,164.752919,164.3364442,178.0969033,179.2303618,188.5592743,208.5559597,233.6711974,243.2461636,247.0990533,253.7290752,251.1307423,261.1875449,259.3028683,248.9306608,251.136893,241.8574386,241.1612614,240.4480432,212.3706654,219.3484485
as68,178.2053029,175.9931236,172.4324747,155.6936738,165.246004,165.0602708,178.8213034,179.7793191,189.1913064,209.2701723,234.2605951,243.9878272,247.8268969,254.3453008,251.9233334,261.8533461,259.9935275,249.9535587,251.8098839,242.4822274,241.8639782,241.2389967,213.1355191,220.2974288
as69,178.9955756,176.5944761,173.0965096,156.4349967,166.2256136,165.7035216,179.4886046,180.472956,190.1178126,209.8273436,235.2287352,244.5851005,248.5290039,255.1502005,252.7547312,262.7980235,260.7236887,250.6123432,252.6732231,243.0935513,242.5663573,241.9737621,213.7075858,220.9256603
as70,179.6536813,177.250002,173.7493275,157.103102,166.9772206,166.7640467,180.1370453,181.18251,190.8201975,210.5252544,235.9673724,245.2888347,249.2894774,255.8527857,253.6860366,263.6990812,261.4457993,251.5495878,253.1957528,243.9194542,243.1391041,242.8144447,214.2604684,221.8055176
as71,180.5016659,178.2452544,174.5901478,158.0028999,167.7414463,167.3894845,180.7448797,181.9876014,191.3031536,211.0492267,236.9027623,246.1014707,249.994614,256.7738933,254.6706538,264.6244965,262.1591351,252.5001741,254.063828,244.4180796,243.9861607,243.8531058,215.1521853,222.5402703
as72,181.2126066,178.9056241,175.3289614,158.7925771,168.236581,167.9990518,181.5843974,182.7262291,192.189372,211.9110555,237.7304489,246.7685988,250.7188375,257.5097536,255.354245,265.3475554,263.06219,253.4076375,254.8441229,245.219636,244.7214264,244.4542735,215.6510257,223.3349922
as73,182.1135463,179.6677134,176.1782818,159.2687415,169.1554663,168.9462658,182.2251202,183.5620747,192.8869821,212.5981298,238.0810239,247.4348568,251.4200611,258.0640132,256.1676099,266.2535533,263.5750902,254.2023529,255.5614022,246.0003686,245.439254,245.3652609,216.2229272,224.2455569
as74,182.6495625,180.3018963,176.8925787,160.18639,169.8803166,169.5349328,182.9787079,184.0474768,193.5135546,213.0721666,239.0099879,248.1189138,252.1661625,258.6520127,256.9801131,267.2434872,264.6065076,254.9947369,256.257784,246.5884552,246.1202622,246.069847,216.9451022,225.0491231
as75,183.2706599,181.3359406,177.4411333,160.9025473,170.680258,170.2469943,183.5569824,184.6815726,194.2146995,213.8628462,239.9378841,248.9084488,252.7775299,259.6882874,257.8435145,268.1415401,265.1788425,255.9245829,257.0539304,247.1946259,246.8966756,247.0966313,217.6185062,225.5725188
as76,184.113029,182.0680864,178.403659,161.6377455,171.2272098,170.9397031,184.17365,185.6867855,195.0136405,214.4974443,240.9607519,249.714106,253.4703889,260.3328416,258.6707818,268.931719,265.9964033,256.9373826,257.6458599,248.0144242,247.6398666,247.7607156,218.1827954,226.650267
as77,184.8381529,182.8775573,179.0793771,162.3643892,172.2007358,171.7157217,185.0788926,186.1709118,195.7226679,215.0030962,241.5814474,250.2620669,254.1446198,261.2596799,259.4314995,270.0214959,266.703983,257.7255087,258.5338645,248.4269239,248.3806256,248.7405832,219.034291,227.4958083
as78,185.6447524,183.6271489,179.8263767,163.1369673,172.8763539,172.4525447,185.6415036,186.887177,196.1929419,215.7195953,242.1554594,251.1303388,255.0015728,261.8774054,260.2839349,270.6224459,267.4408369,258.4190765,259.1177138,249.2751851,248.9667928,249.6125088,219.4973343,228.2106928
as79,186.3174267,184.3449115,180.5480484,163.7494661,173.4965782,173.1532883,186.2117281,187.7108965,197.2331477,216.5577348,243.1044798,251.6931356,255.6938975,262.4592498,261.4175223,271.6866536,268.1618444,259.3865431,259.7603961,249.9546982,249.5811178,250.501386,220.2104391,228.9538947
as80,187.0025925,185.0433391,181.3186775,164.5646025,174.3826031,173.845168,186.8755553,188.2391462,197.8144001,217.1298629,244.0536793,252.4017133,256.3278408,263.4298673,261.8788979,272.3348114,269.0372429,260.2716826,260.645146,250.7441017,250.3581891,251.43044,220.9731778,229.744794
as81,187.5876745,185.8290578,182.1787405,165.3524446,174.9737362,174.7073615,187.6771617,188.8845355,198.5314224,217.6108095,244.6425446,253.0733423,257.0975998,264.2854879,262.7219389,273.2916606,269.8221893,261.2127357,261.3497949,251.2360245,251.1916568,252.1981319,221.4265442,230.9159235
as82,188.5735837,186.6356044,183.0069272,165.9527825,175.8470282,175.5644365,188.4194315,189.6047553,199.1804202,218.4036747,245.4401344,253.8136595,257.6290997,264.8383705,263.8261784,274.1068883,270.5487676,261.8513601,262.043275,251.9084487,251.9268698,252.9227673,222.107402,231.2513334
as83,189.2130572,187.1766323,183.6105738,166.7630108,176.5663248,176.2349156,188.9814515,190.3484974,199.898275,219.1863673,246.4652769,254.5641014,258.2473113,265.9157695,264.2630631,274.9365204,271.1263436,262.7028047,263.0601459,252.6780835,252.4150774,253.5804175,222.8354116,231.8315023
as84,190.0031945,188.1587394,184.2588649,167.635524,177.3751842,176.902271,189.726072,191.1769658,200.6958897,219.8508947,247.0186523,255.3089603,259.1062797,266.4587067,265.0665279,275.8747765,272.0181634,263.747609,263.5203674,253.1867595,253.2390161,254.761012,223.4975526,232.9267832
as85,190.5746197,189.0238061,185.2316458,168.1501525,177.93781,177.5003162,190.4134183,191.9244295,201.4533876,220.4408394,247.9179025,256.1746401,259.8476526,267.1587559,265.9411942,276.5236673,273.021588,264.7774772,264.2994194,253.9457085,253.8365992,255.4411045,223.9194041,233.8055303
as86,191.2911303,189.8170336,185.9099894,169.0351714,178.584944,178.2971025,190.8702217,192.7160726,202.1495442,221.0917191,248.7408699,256.8526042,260.5458871,267.969253,266.9429992,277.5607296,273.3331415,265.5990144,265.1394774,254.6114307,254.8817643,256.083065,224.8180053,234.5902765
as87,192.0707368,190.5242968,186.71604,169.8425294,179.3009444,179.1026731,191.9662078,193.2968784,202.637638,221.7894191,249.422573,257.4695817,261.173811,268.46427,267.7368898,278.7356529,274.1209376,266.3530324,265.754686,255.2121555,255.1443726,257.24733,225.3293138,235.1915093
as88,192.9362807,190.9549544,187.1921541,170.5943806,180.2034243,179.6900535,192.3841589,194.0562672,203.3592564,222.4515261,250.3035173,258.0529686,261.7224563,269.609114,268.4316348,279.1335763,274.872867,267.1190538,266.5043887,255.850983,255.9549194,258.2846524,225.8939067,235.9347719
as89,193.407132,191.9764842,188.3598554,171.1853524,180.7939854,180.5429568,192.9419852,194.6236745,204.1302971,223.0292442,251.1336581,258.8804935,262.7676181,270.6597461,269.3978505,280.2840391,275.6879863,267.8058806,267.0942357,256.5085837,256.8180373,258.6485922,226.5297359,237.0267633
as90,194.4463647,192.6861847,188.8789206,171.8109333,181.599405,181.2437753,193.6523691,195.3667049,204.8802221,223.6166597,252.0170119,259.4474889,263.2458045,270.9098973,270.0642369,280.9869117,276.5363957,268.910298,267.8029635,257.4267347,257.3837813,259.4795223,227.4017247,237.4444809
as91,195.0715741,193.3467884,189.6581171,172.9536171,182.5438598,181.948359,194.5784302,196.1404046,205.594411,224.4955461,252.5295513,260.3956072,264.0197973,271.6625141,271.0159588,281.93416,277.0156733,269.8673618,268.6769693,257.9731391,258.2547061,260.2461822,227.9504835,238.5308924
as92,195.9252696,194.233923,190.328807,173.4536441,182.8950527,182.6085716,195.0893098,196.6806653,206.261022,225.198879,253.4303088,260.9138929,264.5795131,272.0980496,271.6260027,282.7117094,278.0832299,270.3803116,269.3316056,258.659262,258.6403877,261.4596011,228.5963652,238.9939796
as93,196.5666825,195.1442115,190.9813033,174.4779225,183.7091152,183.4119695,195.8046613,197.6041674,207.0204849,225.5592746,254.4858675,261.6615729,265.6380318,273.2782269,272.8139999,283.7372533,278.7819341,271.6400296,270.1408054,259.511005,259.5760563,261.9461816,229.2277441,239.9720899
as94,197.4215061,195.8011371,191.9733075,175.0036076,184.9123513,183.9627464,196.62464,198.1618715,207.6936418,226.4814724,255.0662708,262.3789583,266.0460912,274.1859027,273.6550889,284.7605471,279.5058788,272.6909909,270.6626956,260.1243865,260.3710347,263.1712553,229.8814588,240.9049486
as95,197.9226426,196.7399136,192.4810123,175.7521637,185.3409458,184.9974131,197.2692494,198.6534052,208.5118552,227.0923994,255.6151892,262.9560879,267.0158415,274.6097856,274.3262085,285.2351797,280.2904648,273.3656191,271.5310458,260.5477633,261.1677916,263.2973253,230.2774079,241.32974
